"Exports & Imports by NAICS Commodities by country 2024"
"Current date: 04/03/2025 3:28 AM (Eastern Daylight Time)"
"Commodity: All Commodities"
"District: All Districts Total"
"Time: 2024"
"Country","Total Exports Value ($US)","Domestic Exports Value ($US)","Foreign Exports Value ($US)","Customs Import Value (Gen) ($US)","CIF Import Value (Gen) ($US)","Customs Import Value (Cons) ($US)","CIF Import Value (Cons) ($US)","Balance ($US)",
"Montenegro","27,681,345","26,331,157","1,350,188","15,382,306","15,605,850","15,068,730","15,286,644","12,299,039"
"Montserrat","12,071,251","11,139,584","931,667","5,631,794","5,692,759","5,424,449","5,481,267","6,439,457"
"Morocco","5,268,646,115","5,119,129,874","149,516,241","1,904,884,441","1,983,153,655","1,741,565,879","1,816,373,609","3,363,761,674"
"Mozambique","149,698,447","143,070,403","6,628,044","216,070,589","220,295,830","214,760,354","219,280,088","-66,372,142"
"Namibia","160,506,498","155,095,211","5,411,287","275,225,098","279,548,618","306,500,222","310,981,268","-114,718,600"
"Nauru","916,696","906,913","9,783","2,238,924","2,322,378","2,238,924","2,322,378","-1,322,228"
"Nepal","120,890,203","99,571,864","21,318,339","120,461,589","128,524,246","120,339,279","128,400,963","428,614"
"Netherlands","89,648,784,899","77,122,889,500","12,525,895,399","34,132,810,238","35,051,896,220","31,970,267,986","32,896,944,576","55,515,974,661"
"New Caledonia","29,394,518","28,214,818","1,179,700","33,844,904","35,357,975","33,844,526","35,357,585","-4,450,386"
"New Zealand","4,499,423,962","4,037,947,496","461,476,466","5,617,042,562","5,860,676,622","5,584,830,351","5,826,927,177","-1,117,618,600"
"Nicaragua","2,940,985,161","2,486,577,490","454,407,671","4,622,325,539","4,765,518,855","4,641,569,910","4,784,264,807","-1,681,340,378"
"Niger","43,252,222","42,507,458","744,764","8,306,694","8,508,607","8,274,435","8,476,207","34,945,528"
"Nigeria","4,174,298,267","4,033,014,793","141,283,474","5,699,175,959","5,868,414,705","6,108,086,870","6,302,093,945","-1,524,877,692"
"Niue","648,447","645,097","3,350","4,322,244","4,406,850","4,322,244","4,406,850","-3,673,797"
"Norfolk Island","80,944","76,944","4,000","191,165","192,167","191,165","192,167","-110,221"
"Norway","4,592,039,618","4,154,279,091","437,760,527","6,583,334,170","6,879,042,917","6,523,062,636","6,816,463,684","-1,991,294,552"
"Oman","1,954,270,075","1,859,646,172","94,623,903","1,319,991,529","1,414,796,724","1,322,517,681","1,417,413,024","634,278,546"
"Pakistan","2,135,147,106","2,090,466,667","44,680,439","5,123,656,160","5,466,284,320","5,112,521,422","5,454,980,426","-2,988,509,054"
"Palau","20,993,953","20,045,929","948,024","2,234,213","2,325,379","2,234,213","2,325,379","18,759,740"
"Panama","10,702,134,058","9,704,048,561","998,085,497","555,820,472","580,864,656","552,664,414","577,807,385","10,146,313,586"
"Papua New Guinea","67,200,220","62,823,587","4,376,633","79,150,698","80,898,103","79,150,698","80,898,103","-11,950,478"
"Paraguay","3,158,414,426","1,589,730,371","1,568,684,055","356,152,957","377,941,617","346,442,351","366,005,066","2,802,261,469"
"Peru","11,223,803,301","10,013,014,376","1,210,788,925","9,363,192,761","10,013,654,478","9,605,756,489","10,264,760,488","1,860,610,540"
"Philippines","9,297,313,129","8,344,670,036","952,643,093","14,177,628,116","14,593,410,270","13,948,768,343","14,371,517,750","-4,880,314,987"
"Pitcairn Islands","1,088,006","1,043,686","44,320","9,335","9,985","9,335","9,985","1,078,671"
"Poland","11,984,988,111","10,161,920,152","1,823,067,959","13,688,367,070","14,081,165,035","13,469,359,905","13,859,118,777","-1,703,378,959"
"Portugal","3,048,429,239","2,878,598,088","169,831,151","6,588,956,258","6,882,343,105","6,452,975,680","6,744,236,855","-3,540,527,019"
"Qatar","3,804,248,139","3,397,550,498","406,697,641","1,834,185,727","1,873,504,266","1,783,590,692","1,821,156,903","1,970,062,412"
"Reunion","11,883,522","9,938,066","1,945,456","44,066,856","45,417,859","44,007,360","45,357,426","-32,183,334"
"Romania","1,259,281,600","1,085,480,809","173,800,791","3,905,012,813","4,033,844,156","3,595,930,687","3,721,677,643","-2,645,731,213"
"Russia","526,066,141","479,494,546","46,571,595","3,007,500,456","3,272,379,815","2,932,036,916","3,196,100,012","-2,481,434,315"
