"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 23, 2017",Florida,Ocala,"3340 S Pine Ave",1,0,N/A
"December 23, 2017",Oklahoma,"Oklahoma City","2200 block of S Mehl Dr",1,0,N/A
"December 23, 2017","District of Columbia",Washington,"2900 block of MLK Jr Ave SE",1,0,N/A
"December 23, 2017",Tennessee,"Tracy City","B Mine Rd",1,1,N/A
"December 23, 2017",Illinois,Peoria,"1805 N Linn St",1,1,N/A
"December 23, 2017","South Carolina",Mullins,"Church Street",1,0,N/A
"December 23, 2017",California,Oakland,"2200 block Of Brush St",1,0,N/A
"December 23, 2017",Minnesota,Crookston,N/A,1,0,N/A
"December 23, 2017","South Carolina",Columbia,"7041 Parklane Road",1,0,N/A
"December 23, 2017",Arizona,Tucson,"1500 block of W Calle Guadalajara",1,0,N/A
"December 23, 2017",Louisiana,Eunice,"100 block of City Avenue",1,3,N/A
"December 23, 2017",Louisiana,"New Orleans","5700 block of Crowder Blvd",1,0,N/A
"December 23, 2017",Arizona,Mesa,"7026 E Colonial Club Drive",3,0,N/A
"December 23, 2017",Maryland,Baltimore,"600 block of N Dukeland St",1,0,N/A
"December 23, 2017",Maryland,Baltimore,"4900 block of Pembridge Ave",1,0,N/A
"December 23, 2017",Georgia,Augusta,"2300 Block of Boykin Rd",1,0,N/A
"December 23, 2017",Oregon,Gresham,"2000 block of NW 7th Pl",2,0,N/A
"December 23, 2017",Colorado,"Snowmass Village",N/A,1,0,N/A
"December 23, 2017",Pennsylvania,Chester,"3100 block of W 9th St",1,0,N/A
"December 23, 2017",Indiana,"Fort Wayne","1400 Greene St",1,0,N/A
"December 23, 2017",Indiana,"Fort Wayne","1524 Oxford St",1,1,N/A
"December 23, 2017","North Carolina",Kelly,"23705 NC 210 E",1,0,N/A
"December 23, 2017",Indiana,Bloomington,"1400 N Woodburn Ave",1,1,N/A
"December 23, 2017","New York",Medford,"3102 Falcon Ave",2,0,N/A
"December 23, 2017",Illinois,Chicago,"5200 W Ferdinand St",1,1,N/A
"December 23, 2017",Illinois,Chicago,"11200 S Michigan Ave",1,0,N/A
"December 23, 2017",Missouri,"Saint James","17000 block of CR 3520",1,0,N/A
"December 23, 2017",Texas,Longview,"1000 block of 12th St",1,0,N/A
"December 23, 2017",Alabama,Birmingham,"224 12th St. W",1,0,N/A
"December 23, 2017","New Mexico",Albuquerque,"3800 block of Montgomery Blvd NE",1,0,N/A
"December 23, 2017",Ohio,Dublin,"6400 Emerald Parkway",1,0,N/A
"December 23, 2017",Missouri,"Kansas City","400 block of Jackson Ave",1,0,N/A
"December 23, 2017",Pennsylvania,"Pittsburgh (Churchill)","2300 block of Forest Dr",1,1,N/A
"December 23, 2017","New Hampshire",Canaan,"Switch Rd and US-4",1,0,N/A
"December 23, 2017",California,Vallejo,"401 York St",1,2,N/A
"December 23, 2017",Pennsylvania,Reading,"1600 block of Perkiomen Ave",1,0,N/A
"December 22, 2017","North Carolina",Greensboro,"204 E Seneca Dr",1,0,N/A
"December 22, 2017",Minnesota,Gilbert,"Michigan Ave",1,1,N/A
"December 22, 2017",Michigan,Beaverton,"Hay Rd and E Highwood Rd",1,0,N/A
"December 22, 2017",Mississippi,Columbus,"1203 Hwy 45 N",1,0,N/A
"December 22, 2017","South Carolina",Columbia,N/A,1,0,N/A
"December 22, 2017",Missouri,"Kansas City","4500 block of Spruce Ave",1,0,N/A
"December 22, 2017",California,Sacramento,"Santa Cruz and Broadway",1,1,N/A
"December 22, 2017","West Virginia",Raysal,N/A,1,0,N/A
"December 22, 2017",Texas,Lubbock,"6000 block of 88th St",1,0,N/A
"December 22, 2017",Nevada,"Las Vegas","4000 block of Vader Avenue",2,0,N/A
